Item Number,Item Name,Item Start column,Item Length,Record Types,NAACCR XML ID,NAACCR XML Parent Element
1510,"Rad--Regional Dose: cGy",1596,5,"A,M,C,I",radRegionalDoseCgy,Tumor
1520,"Rad--No of Treatment Vol",1601,3,"A,M,C,I",radNoOfTreatmentVol,Tumor
1540,"Rad--Treatment Volume",1604,2,"A,M,C,I",radTreatmentVolume,Tumor
1550,"Rad--Location of RX",1606,1,"A,M,C,I",radLocationOfRx,Tumor
1570,"Rad--Regional RX Modality",1607,2,"A,M,C,I",radRegionalRxModality,Tumor
3200,"Rad--Boost RX Modality",1609,2,"A,M,C,I",radBoostRxModality,Tumor
3210,"Rad--Boost Dose cGy",1611,5,"A,M,C,I",radBoostDoseCgy,Tumor
1639,"RX Summ--Systemic/Sur Seq",1616,1,"A,M,C,I",rxSummSystemicSurSeq,Tumor
1640,"RX Summ--Surgery Type",1617,2,"A,M,C,I",rxSummSurgeryType,Tumor
3190,"Readm Same Hosp 30 Days",1619,1,"A,M,C,I",readmSameHosp30Days,Tumor
1646,"RX Summ--Surg Site 98-02",1620,2,"A,M,C,I",rxSummSurgSite9802,Tumor
1647,"RX Summ--Scope Reg 98-02",1622,1,"A,M,C,I",rxSummScopeReg9802,Tumor
1648,"RX Summ--Surg Oth 98-02",1623,1,"A,M,C,I",rxSummSurgOth9802,Tumor
1190,"Reserved 06",1624,100,"A,M,C,I",reserved06,Tumor
1660,"Subsq RX 2nd Course Date",1724,8,"A,M,C,I",subsqRx2ndCourseDate,Tumor
1661,"Subsq RX 2ndCrs Date Flag",1732,2,"A,M,C,I",subsqRx2ndcrsDateFlag,Tumor
1671,"Subsq RX 2nd Course Surg",1734,2,"A,M,C,I",subsqRx2ndCourseSurg,Tumor
1677,"Subsq RX 2nd--Scope LN SU",1736,1,"A,M,C,I",subsqRx2ndScopeLnSu,Tumor
1678,"Subsq RX 2nd--Surg Oth",1737,1,"A,M,C,I",subsqRx2ndSurgOth,Tumor
1679,"Subsq RX 2nd--Reg LN Rem",1738,2,"A,M,C,I",subsqRx2ndRegLnRem,Tumor
1672,"Subsq RX 2nd Course Rad",1740,1,"A,M,C,I",subsqRx2ndCourseRad,Tumor
1673,"Subsq RX 2nd Course Chemo",1741,1,"A,M,C,I",subsqRx2ndCourseChemo,Tumor
1674,"Subsq RX 2nd Course Horm",1742,1,"A,M,C,I",subsqRx2ndCourseHorm,Tumor
1675,"Subsq RX 2nd Course BRM",1743,1,"A,M,C,I",subsqRx2ndCourseBrm,Tumor
1676,"Subsq RX 2nd Course Oth",1744,1,"A,M,C,I",subsqRx2ndCourseOth,Tumor
1680,"Subsq RX 3rd Course Date",1745,8,"A,M,C,I",subsqRx3rdCourseDate,Tumor
1681,"Subsq RX 3rdCrs Date Flag",1753,2,"A,M,C,I",subsqRx3rdcrsDateFlag,Tumor
1691,"Subsq RX 3rd Course Surg",1755,2,"A,M,C,I",subsqRx3rdCourseSurg,Tumor
1697,"Subsq RX 3rd--Scope LN Su",1757,1,"A,M,C,I",subsqRx3rdScopeLnSu,Tumor
1698,"Subsq RX 3rd--Surg Oth",1758,1,"A,M,C,I",subsqRx3rdSurgOth,Tumor
1699,"Subsq RX 3rd--Reg LN Rem",1759,2,"A,M,C,I",subsqRx3rdRegLnRem,Tumor
1692,"Subsq RX 3rd Course Rad",1761,1,"A,M,C,I",subsqRx3rdCourseRad,Tumor
1693,"Subsq RX 3rd Course Chemo",1762,1,"A,M,C,I",subsqRx3rdCourseChemo,Tumor
1694,"Subsq RX 3rd Course Horm",1763,1,"A,M,C,I",subsqRx3rdCourseHorm,Tumor
1695,"Subsq RX 3rd Course BRM",1764,1,"A,M,C,I",subsqRx3rdCourseBrm,Tumor
1696,"Subsq RX 3rd Course Oth",1765,1,"A,M,C,I",subsqRx3rdCourseOth,Tumor
1700,"Subsq RX 4th Course Date",1766,8,"A,M,C,I",subsqRx4thCourseDate,Tumor
1701,"Subsq RX 4thCrs Date Flag",1774,2,"A,M,C,I",subsqRx4thcrsDateFlag,Tumor
1711,"Subsq RX 4th Course Surg",1776,2,"A,M,C,I",subsqRx4thCourseSurg,Tumor
1717,"Subsq RX 4th--Scope LN Su",1778,1,"A,M,C,I",subsqRx4thScopeLnSu,Tumor
1718,"Subsq RX 4th--Surg Oth",1779,1,"A,M,C,I",subsqRx4thSurgOth,Tumor
1719,"Subsq RX 4th--Reg LN Rem",1780,2,"A,M,C,I",subsqRx4thRegLnRem,Tumor
1712,"Subsq RX 4th Course Rad",1782,1,"A,M,C,I",subsqRx4thCourseRad,Tumor
1713,"Subsq RX 4th Course Chemo",1783,1,"A,M,C,I",subsqRx4thCourseChemo,Tumor
1714,"Subsq RX 4th Course Horm",1784,1,"A,M,C,I",subsqRx4thCourseHorm,Tumor
1715,"Subsq RX 4th Course BRM",1785,1,"A,M,C,I",subsqRx4thCourseBrm,Tumor
1716,"Subsq RX 4th Course Oth",1786,1,"A,M,C,I",subsqRx4thCourseOth,Tumor
1741,"Subsq RX--Reconstruct Del",1787,1,"A,M,C,I",subsqRxReconstructDel,Tumor
1300,"Reserved 07",1788,100,"A,M,C,I",reserved07,Tumor
1981,"Over-ride SS/NodesPos",1888,1,"A,M,C,I",overRideSsNodespos,Tumor
1982,"Over-ride SS/TNM-N",1889,1,"A,M,C,I",overRideSsTnmN,Tumor
1983,"Over-ride SS/TNM-M",1890,1,"A,M,C,I",overRideSsTnmM,Tumor
1985,"Over-ride Acsn/Class/Seq",1891,1,"A,M,C,I",overRideAcsnClassSeq,Tumor
1986,"Over-ride HospSeq/DxConf",1892,1,"A,M,C,I",overRideHospseqDxconf,Tumor
1987,"Over-ride CoC-Site/Type",1893,1,"A,M,C,I",overRideCocSiteType,Tumor
1988,"Over-ride HospSeq/Site",1894,1,"A,M,C,I",overRideHospseqSite,Tumor
1989,"Over-ride Site/TNM-StgGrp",1895,1,"A,M,C,I",overRideSiteTnmStggrp,Tumor
1990,"Over-ride Age/Site/Morph",1896,1,"A,M,C,I",overRideAgeSiteMorph,Tumor
2000,"Over-ride SeqNo/DxConf",1897,1,"A,M,C,I",overRideSeqnoDxconf,Tumor
2010,"Over-ride Site/Lat/SeqNo",1898,1,"A,M,C,I",overRideSiteLatSeqno,Tumor
2020,"Over-ride Surg/DxConf",1899,1,"A,M,C,I",overRideSurgDxconf,Tumor
2030,"Over-ride Site/Type",1900,1,"A,M,C,I",overRideSiteType,Tumor
2040,"Over-ride Histology",1901,1,"A,M,C,I",overRideHistology,Tumor
2050,"Over-ride Report Source",1902,1,"A,M,C,I",overRideReportSource,Tumor
2060,"Over-ride Ill-define Site",1903,1,"A,M,C,I",overRideIllDefineSite,Tumor
2070,"Over-ride Leuk, Lymphoma",1904,1,"A,M,C,I",overRideLeukLymphoma,Tumor
2071,"Over-ride Site/Behavior",1905,1,"A,M,C,I",overRideSiteBehavior,Tumor
2072,"Over-ride Site/EOD/DX Dt",1906,1,"A,M,C,I",overRideSiteEodDxDt,Tumor
2073,"Over-ride Site/Lat/EOD",1907,1,"A,M,C,I",overRideSiteLatEod,Tumor
2074,"Over-ride Site/Lat/Morph",1908,1,"A,M,C,I",overRideSiteLatMorph,Tumor
1960,"Site (73-91) ICD-O-1",1909,4,"A,M,C,I",siteIcdO1,Tumor
1971,"Histology (73-91) ICD-O-1",1913,4,"A,M,C,I",histologyIcdO1,Tumor
1972,"Behavior (73-91) ICD-O-1",1917,1,"A,M,C,I",behaviorIcdO1,Tumor
1973,"Grade (73-91) ICD-O-1",1918,1,"A,M,C,I",gradeIcdO1,Tumor
1980,"ICD-O-2 Conversion Flag",1919,1,"A,M,C,I",icdO2ConversionFlag,Tumor
2081,"CRC CHECKSUM",1920,10,"A,M,C,I",crcChecksum,Tumor
2120,"SEER Coding Sys--Current",1930,1,"A,M,C,I",seerCodingSysCurrent,Tumor
2130,"SEER Coding Sys--Original",1931,1,"A,M,C,I",seerCodingSysOriginal,Tumor
2140,"CoC Coding Sys--Current",1932,2,"A,M,C,I",cocCodingSysCurrent,Tumor
2150,"CoC Coding Sys--Original",1934,2,"A,M,C,I",cocCodingSysOriginal,Tumor
2170,"Vendor Name",1936,10,"A,M,C,I",vendorName,Tumor
2180,"SEER Type of Follow-Up",1946,1,"A,M,C,I",seerTypeOfFollowUp,Tumor
2190,"SEER Record Number",1947,2,"A,M,C,I",seerRecordNumber,Tumor
2200,"Diagnostic Proc 73-87",1949,2,"A,M,C,I",diagnosticProc7387,Tumor
2085,"Date Case Initiated",1951,8,"A,M,C,I",dateCaseInitiated,Tumor
2090,"Date Case Completed",1959,8,"A,M,C,I",dateCaseCompleted,Tumor
2092,"Date Case Completed--CoC",1967,8,"A,M,C,I",dateCaseCompletedCoc,Tumor
2100,"Date Case Last Changed",1975,8,"A,M,C,I",dateCaseLastChanged,Tumor
2110,"Date Case Report Exported",1983,8,"A,M,C,I",dateCaseReportExported,Tumor
2111,"Date Case Report Received",1991,8,"A,M,C,I",dateCaseReportReceived,Tumor
2112,"Date Case Report Loaded",1999,8,"A,M,C,I",dateCaseReportLoaded,Tumor
2113,"Date Tumor Record Availbl",2007,8,"A,M,C,I",dateTumorRecordAvailbl,Tumor
2116,"ICD-O-3 Conversion Flag",2015,1,"A,M,C,I",icdO3ConversionFlag,Tumor
3750,"Over-ride CS 1",2016,1,"A,M,C,I",overRideCs1,Tumor
3751,"Over-ride CS 2",2017,1,"A,M,C,I",overRideCs2,Tumor
3752,"Over-ride CS 3",2018,1,"A,M,C,I",overRideCs3,Tumor
3753,"Over-ride CS 4",2019,1,"A,M,C,I",overRideCs4,Tumor
3754,"Over-ride CS 5",2020,1,"A,M,C,I",overRideCs5,Tumor
3755,"Over-ride CS 6",2021,1,"A,M,C,I",overRideCs6,Tumor
3756,"Over-ride CS 7",2022,1,"A,M,C,I",overRideCs7,Tumor
3757,"Over-ride CS 8",2023,1,"A,M,C,I",overRideCs8,Tumor
3758,"Over-ride CS 9",2024,1,"A,M,C,I",overRideCs9,Tumor
3759,"Over-ride CS 10",2025,1,"A,M,C,I",overRideCs10,Tumor
3760,"Over-ride CS 11",2026,1,"A,M,C,I",overRideCs11,Tumor
3761,"Over-ride CS 12",2027,1,"A,M,C,I",overRideCs12,Tumor
3762,"Over-ride CS 13",2028,1,"A,M,C,I",overRideCs13,Tumor
3763,"Over-ride CS 14",2029,1,"A,M,C,I",overRideCs14,Tumor
3764,"Over-ride CS 15",2030,1,"A,M,C,I",overRideCs15,Tumor
3765,"Over-ride CS 16",2031,1,"A,M,C,I",overRideCs16,Tumor
3766,"Over-ride CS 17",2032,1,"A,M,C,I",overRideCs17,Tumor
3767,"Over-ride CS 18",2033,1,"A,M,C,I",overRideCs18,Tumor
3768,"Over-ride CS 19",2034,1,"A,M,C,I",overRideCs19,Tumor
3769,"Over-ride CS 20",2035,1,"A,M,C,I",overRideCs20,Tumor
1650,"Reserved 08",2036,80,"A,M,C,I",reserved08,Tumor
1750,"Date of Last Contact",2116,8,"A,M,C,I",dateOfLastContact,Patient
1751,"Date of Last Contact Flag",2124,2,"A,M,C,I",dateOfLastContactFlag,Patient
1760,"Vital Status",2126,1,"A,M,C,I",vitalStatus,Patient
1770,"Cancer Status",2127,1,"A,M,C,I",cancerStatus,Tumor
1780,"Quality of Survival",2128,1,"A,M,C,I",qualityOfSurvival,Tumor
1790,"Follow-Up Source",2129,1,"A,M,C,I",followUpSource,Tumor
1800,"Next Follow-Up Source",2130,1,"A,M,C,I",nextFollowUpSource,Tumor
1810,"Addr Current--City",2131,50,"A,M,C,I",addrCurrentCity,Patient
1820,"Addr Current--State",2181,2,"A,M,C,I",addrCurrentState,Patient
1830,"Addr Current--Postal Code",2183,9,"A,M,C,I",addrCurrentPostalCode,Patient
1840,"County--Current",2192,3,"A,M,C,I",countyCurrent,Patient
2700,"Reserved 17",2195,1,"A,M,C,I",reserved17,Tumor
1860,"Recurrence Date--1st",2196,8,"A,M,C,I",recurrenceDate1st,Tumor
1861,"Recurrence Date--1st Flag",2204,2,"A,M,C,I",recurrenceDate1stFlag,Tumor
1880,"Recurrence Type--1st",2206,2,"A,M,C,I",recurrenceType1st,Tumor
1842,"Follow-Up Contact--City",2208,50,"A,M,C,I",followUpContactCity,Tumor
1844,"Follow-Up Contact--State",2258,2,"A,M,C,I",followUpContactState,Tumor
1846,"Follow-Up Contact--Postal",2260,9,"A,M,C,I",followUpContactPostal,Tumor
1910,"Cause of Death",2269,4,"A,M,C,I",causeOfDeath,Patient
1920,"ICD Revision Number",2273,1,"A,M,C,I",icdRevisionNumber,Patient
1930,"Autopsy",2274,1,"A,M,C,I",autopsy,Patient
1940,"Place of Death",2275,3,"A,M,C,I",placeOfDeath,Patient
1791,"Follow-up Source Central",2278,2,"A,M,C,I",followUpSourceCentral,Tumor
1755,"Date of Death--Canada",2280,8,"A,M,C,I",dateOfDeathCanada,Patient
1756,"Date of Death--Canada Flag",2288,2,"A,M,C,I",dateOfDeathCanadaFlag,Patient
1850,"Unusual Follow-Up Method",2290,2,"A,M,C,I",unusualFollowUpMethod,Tumor
1782,"Surv-Date Active Followup",2292,8,"A,M,C,I",survDateActiveFollowup,Tumor
1783,"Surv-Flag Active Followup",2300,1,"A,M,C,I",survFlagActiveFollowup,Tumor
1784,"Surv-Mos Active Followup",2301,4,"A,M,C,I",survMosActiveFollowup,Tumor
1785,"Surv-Date Presumed Alive",2305,8,"A,M,C,I",survDatePresumedAlive,Tumor
1786,"Surv-Flag Presumed Alive",2313,1,"A,M,C,I",survFlagPresumedAlive,Tumor
1787,"Surv-Mos Presumed Alive",2314,4,"A,M,C,I",survMosPresumedAlive,Tumor
1788,"Surv-Date DX Recode",2318,8,"A,M,C,I",survDateDxRecode,Tumor
1740,"Reserved 09",2326,14,"A,M,C,I",reserved09,Tumor
2220,"State/Requestor Items",2340,1000,"A,M,C,I",stateRequestorItems,Tumor
2230,"Name--Last",3340,40,"A,M,C",nameLast,Patient
2240,"Name--First",3380,40,"A,M,C",nameFirst,Patient
2250,"Name--Middle",3420,40,"A,M,C",nameMiddle,Patient
2260,"Name--Prefix",3460,3,"A,M,C",namePrefix,Patient
2270,"Name--Suffix",3463,3,"A,M,C",nameSuffix,Patient
2280,"Name--Alias",3466,40,"A,M,C",nameAlias,Patient
2390,"Name--Maiden",3506,40,"A,M,C",nameMaiden,Patient
2290,"Name--Spouse/Parent",3546,60,"A,M,C",nameSpouseParent,Tumor
2300,"Medical Record Number",3606,11,"A,M,C",medicalRecordNumber,Tumor
2310,"Military Record No Suffix",3617,2,"A,M,C",militaryRecordNoSuffix,Tumor
2320,"Social Security Number",3619,9,"A,M,C",socialSecurityNumber,Patient
2330,"Addr at DX--No & Street",3628,60,"A,M,C",addrAtDxNoStreet,Tumor
2335,"Addr at DX--Supplementl",3688,60,"A,M,C",addrAtDxSupplementl,Tumor
2350,"Addr Current--No & Street",3748,60,"A,M,C",addrCurrentNoStreet,Patient
2355,"Addr Current--Supplementl",3808,60,"A,M,C",addrCurrentSupplementl,Patient
2360,"Telephone",3868,10,"A,M,C",telephone,Patient
2380,"DC State File Number",3878,6,"A,M,C",dcStateFileNumber,Patient
2394,"Follow-Up Contact--Name",3884,60,"A,M,C",followUpContactName,Tumor
2392,"Follow-Up Contact--No&St",3944,60,"A,M,C",followUpContactNost,Tumor
2393,"Follow-Up Contact--Suppl",4004,60,"A,M,C",followUpContactSuppl,Tumor
2352,"Latitude",4064,10,"A,M,C",latitude,Tumor
2354,"Longitude",4074,11,"A,M,C",longitude,Tumor
1835,"Reserved 10",4085,200,"A,M,C",reserved10,Tumor
2445,"NPI--Following Registry",4285,10,"A,M,C",npiFollowingRegistry,Tumor
2440,"Following Registry",4295,10,"A,M,C",followingRegistry,Tumor
2415,"NPI--Inst Referred From",4305,10,"A,M,C",npiInstReferredFrom,Tumor
2410,"Institution Referred From",4315,10,"A,M,C",institutionReferredFrom,Tumor
2425,"NPI--Inst Referred To",4325,10,"A,M,C",npiInstReferredTo,Tumor
2420,"Institution Referred To",4335,10,"A,M,C",institutionReferredTo,Tumor
1900,"Reserved 11",4345,50,"A,M,C",reserved11,Tumor
2465,"NPI--Physician--Managing",4395,10,"A,M,C",npiPhysicianManaging,Tumor
2460,"Physician--Managing",4405,8,"A,M,C",physicianManaging,Tumor
2475,"NPI--Physician--Follow-Up",4413,10,"A,M,C",npiPhysicianFollowUp,Tumor
2470,"Physician--Follow-Up",4423,8,"A,M,C",physicianFollowUp,Tumor
2485,"NPI--Physician--Primary Surg",4431,10,"A,M,C",npiPhysicianPrimarySurg,Tumor
2480,"Physician--Primary Surg",4441,8,"A,M,C",physicianPrimarySurg,Tumor
2495,"NPI--Physician 3",4449,10,"A,M,C",npiPhysician3,Tumor
2490,"Physician 3",4459,8,"A,M,C",physician3,Tumor
2505,"NPI--Physician 4",4467,10,"A,M,C",npiPhysician4,Tumor
2500,"Physician 4",4477,8,"A,M,C",physician4,Tumor
2510,"Reserved 12",4485,50,"A,M,C",reserved12,Tumor
7010,"Path Reporting Fac ID 1",4535,25,"A,M,C",pathReportingFacId1,Tumor
7090,"Path Report Number 1",4560,20,"A,M,C",pathReportNumber1,Tumor
7320,"Path Date Spec Collect 1",4580,14,"A,M,C",pathDateSpecCollect1,Tumor
7480,"Path Report Type 1",4594,2,"A,M,C",pathReportType1,Tumor
7190,"Path Ordering Fac No 1",4596,25,"A,M,C",pathOrderingFacNo1,Tumor
7100,"Path Order Phys Lic No 1",4621,20,"A,M,C",pathOrderPhysLicNo1,Tumor
7011,"Path Reporting Fac ID 2",4641,25,"A,M,C",pathReportingFacId2,Tumor
7091,"Path Report Number 2",4666,20,"A,M,C",pathReportNumber2,Tumor
7321,"Path Date Spec Collect 2",4686,14,"A,M,C",pathDateSpecCollect2,Tumor
7481,"Path Report Type 2",4700,2,"A,M,C",pathReportType2,Tumor
7191,"Path Ordering Fac No 2",4702,25,"A,M,C",pathOrderingFacNo2,Tumor
7101,"Path Order Phys Lic No 2",4727,20,"A,M,C",pathOrderPhysLicNo2,Tumor
7012,"Path Reporting Fac ID 3",4747,25,"A,M,C",pathReportingFacId3,Tumor
7092,"Path Report Number 3",4772,20,"A,M,C",pathReportNumber3,Tumor
7322,"Path Date Spec Collect 3",4792,14,"A,M,C",pathDateSpecCollect3,Tumor
7482,"Path Report Type 3",4806,2,"A,M,C",pathReportType3,Tumor
7192,"Path Ordering Fac No 3",4808,25,"A,M,C",pathOrderingFacNo3,Tumor
7102,"Path Order Phys Lic No 3",4833,20,"A,M,C",pathOrderPhysLicNo3,Tumor
7013,"Path Reporting Fac ID 4",4853,25,"A,M,C",pathReportingFacId4,Tumor
7093,"Path Report Number 4",4878,20,"A,M,C",pathReportNumber4,Tumor
7323,"Path Date Spec Collect 4",4898,14,"A,M,C",pathDateSpecCollect4,Tumor
7483,"Path Report Type 4",4912,2,"A,M,C",pathReportType4,Tumor
7193,"Path Ordering Fac No 4",4914,25,"A,M,C",pathOrderingFacNo4,Tumor
7103,"Path Order Phys Lic No 4",4939,20,"A,M,C",pathOrderPhysLicNo4,Tumor
7014,"Path Reporting Fac ID 5",4959,25,"A,M,C",pathReportingFacId5,Tumor
7094,"Path Report Number 5",4984,20,"A,M,C",pathReportNumber5,Tumor
7324,"Path Date Spec Collect 5",5004,14,"A,M,C",pathDateSpecCollect5,Tumor
7484,"Path Report Type 5",5018,2,"A,M,C",pathReportType5,Tumor
7194,"Path Ordering Fac No 5",5020,25,"A,M,C",pathOrderingFacNo5,Tumor
7104,"Path Order Phys Lic No 5",5045,20,"A,M,C",pathOrderPhysLicNo5,Tumor
2080,"Reserved 13",5065,500,"A,M,C",reserved13,Tumor
2520,"Text--DX Proc--PE",5565,1000,"A,M",textDxProcPe,Tumor
2530,"Text--DX Proc--X-ray/Scan",6565,1000,"A,M",textDxProcXRayScan,Tumor
2540,"Text--DX Proc--Scopes",7565,1000,"A,M",textDxProcScopes,Tumor
2550,"Text--DX Proc--Lab Tests",8565,1000,"A,M",textDxProcLabTests,Tumor
2560,"Text--DX Proc--Op",9565,1000,"A,M",textDxProcOp,Tumor
2570,"Text--DX Proc--Path",10565,1000,"A,M",textDxProcPath,Tumor
2580,"Text--Primary Site Title",11565,100,"A,M",textPrimarySiteTitle,Tumor
2590,"Text--Histology Title",11665,100,"A,M",textHistologyTitle,Tumor
2600,"Text--Staging",11765,1000,"A,M",textStaging,Tumor
2610,"RX Text--Surgery",12765,1000,"A,M",rxTextSurgery,Tumor
2620,"RX Text--Radiation (Beam)",13765,1000,"A,M",rxTextRadiation,Tumor
2630,"RX Text--Radiation Other",14765,1000,"A,M",rxTextRadiationOther,Tumor
2640,"RX Text--Chemo",15765,1000,"A,M",rxTextChemo,Tumor
2650,"RX Text--Hormone",16765,1000,"A,M",rxTextHormone,Tumor
2660,"RX Text--BRM",17765,1000,"A,M",rxTextBrm,Tumor
2670,"RX Text--Other",18765,1000,"A,M",rxTextOther,Tumor
2680,"Text--Remarks",19765,1000,"A,M",textRemarks,Tumor
2690,"Text--Place of Diagnosis",20765,60,"A,M",textPlaceOfDiagnosis,Tumor
2210,"Reserved 14",20825,2000,"A,M",reserved14,Tumor
