XML NAACCR ID,Item #,Item Name,Length,PARENT XML ELEMENT,Section,Format,Allowable Values,Note
date1stCrsRxCoc,1270,Date 1st Crs RX CoC,8,Tumor,Treatment-1st Course,YYYYMMDD,Valid dates,
rxDateDxStgProc,1280,RX Date DX/Stg Proc,8,Tumor,Treatment-1st Course,YYYYMMDD,Valid dates,
rxSummTreatmentStatus,1285,RX Summ--Treatment Status,1,Tumor,Treatment-1st Course,,"0-2, 9",
rxSummSurgPrimSite,1290,RX Summ--Surg Prim Site 03-2022,2,Tumor,Treatment-1st Course,"Right justified, zero filled","00, 10-80, 90, 98, 99 (site-specific)",Revised
rxSummSurgPrimSite2023,1291,RX Summ--Surg Prim Site 2023,4,Tumor,Treatment-1st Course,Alphanumeric,"A000, A200-A990, Blank",New
rxSummScopeRegLnSur,1292,RX Summ--Scope Reg LN Sur,1,Tumor,Treatment-1st Course,,"0-7, 9",
rxSummSurgOthRegDis,1294,RX Summ--Surg Oth Reg/Dis,1,Tumor,Treatment-1st Course,,"0-5, 9",
rxSummRegLnExamined,1296,RX Summ--Reg LN Examined,2,Tumor,Treatment-1st Course,"Right justified, zero filled","00-90, 95-99",
rxSummSurgicalApproch,1310,RX Summ--Surgical Approch,1,Tumor,Treatment-1st Course,,0-9 (site-specific),
rxSummSurgicalMargins,1320,RX Summ--Surgical Margins,1,Tumor,Treatment-1st Course,,"0-3, 7-9",
rxSummReconstruct1st,1330,RX Summ--Reconstruct 1st,1,Tumor,Treatment-1st Course,,0-9 (site-specific),
reasonForNoSurgery,1340,Reason for No Surgery,1,Tumor,Treatment-1st Course,,"0-2, 5-9",
rxSummDxStgProc,1350,RX Summ--DX/Stg Proc,2,Tumor,Treatment-1st Course,"Right justified, zero filled","00-07, 09",
rxSummRadiation,1360,RX Summ--Radiation,1,Tumor,Treatment-1st Course,,0-9,
rxSummRadToCns,1370,RX Summ--Rad to CNS,1,Tumor,Treatment-1st Course,,"0, 1, 7-9",
rxSummSurgRadSeq,1380,RX Summ--Surg/Rad Seq,1,Tumor,Treatment-1st Course,,"0, 2-7, 9",
rxSummChemo,1390,RX Summ--Chemo,2,Tumor,Treatment-1st Course,"Right justified, zero filled","00-03, 82, 85-88, 99",
rxSummHormone,1400,RX Summ--Hormone,2,Tumor,Treatment-1st Course,"Right justified, zero filled","00, 01, 82, 85-88, 99",
rxSummBrm,1410,RX Summ--BRM,2,Tumor,Treatment-1st Course,"Right justified, zero filled","00, 01, 82, 85-88, 99",
rxSummOther,1420,RX Summ--Other,1,Tumor,Treatment-1st Course,,"0-3, 6-9",
reasonForNoRadiation,1430,Reason for No Radiation,1,Tumor,Treatment-1st Course,,"0-2, 5-9",
rxCodingSystemCurrent,1460,RX Coding System--Current,2,Tumor,Treatment-1st Course,"Right justified, zero filled","00-08, 99",
phase1DosePerFraction,1501,Phase I Dose per Fraction,5,Tumor,Treatment-1st Course,"Right Justified, zero filled",00000-99999,
phase1RadiationExternalBeamTech,1502,Phase I Radiation External Beam Planning Tech,2,Tumor,Treatment-1st Course,,"00-10, 88, 98, 99",
phase1NumberOfFractions,1503,Phase I Number of Fractions,3,Tumor,Treatment-1st Course,"Right justified, zero filled",000-999,
phase1RadiationPrimaryTxVolume,1504,Phase I Radiation Primary Treatment Volume,2,Tumor,Treatment-1st Course,,"00-07, 09-14, 20-26, 29-32, 39-42, 50-68, 70-73, 80-86, 88, 90-99",
phase1RadiationToDrainingLN,1505,Phase I Radiation to Draining Lymph Nodes,2,Tumor,Treatment-1st Course,,"00-08, 88, 99",
phase1RadiationTreatmentModality,1506,Phase I Radiation Treatment Modality,2,Tumor,Treatment-1st Course,,"00-16, 98, 99",
phase1TotalDose,1507,Phase I Total Dose,6,Tumor,Treatment-1st Course,"Right Justified, zero filled",000000-999999,
radRegionalDoseCgy,1510,Rad--Regional Dose: cGy,5,Tumor,Treatment-1st Course,"Right justified, zero filled",00000-99999,
phase2DosePerFraction,1511,Phase II Dose per Fraction,5,Tumor,Treatment-1st Course,,00000-99999,
phase2RadiationExternalBeamTech,1512,Phase II Radiation External Beam Planning Tech,2,Tumor,Treatment-1st Course,,"00-10, 88, 98, 99",
phase2NumberOfFractions,1513,Phase II Number of Fractions,3,Tumor,Treatment-1st Course,"Right justified, zero filled",000-999,
phase2RadiationPrimaryTxVolume,1514,Phase II Radiation Primary Treatment Volume,2,Tumor,Treatment-1st Course,,"00-07, 09-14, 20-26, 29-32, 39-42, 50-68, 70-73, 80-86, 88, 90-99",
phase2RadiationToDrainingLN,1515,Phase II Radiation to Draining Lymph Nodes,2,Tumor,Treatment-1st Course,,"00-08, 88, 99",
phase2RadiationTreatmentModality,1516,Phase II Radiation Treatment Modality,2,Tumor,Treatment-1st Course,,"00-16, 98, 99",
phase2TotalDose,1517,Phase II Total Dose,6,Tumor,Treatment-1st Course,"Right justified, zero filled",000000-999999,
radNoOfTreatmentVol,1520,Rad--No of Treatment Vol,3,Tumor,Treatment-1st Course,"Right justified, zero filled",000-999,
phase3DosePerFraction,1521,Phase III Dose per Fraction,5,Tumor,Treatment-1st Course,,00000-99999,
phase3RadiationExternalBeamTech,1522,Phase III Radiation External Beam Planning Tech,2,Tumor,Treatment-1st Course,,"00-10, 88, 98, 99",
phase3NumberOfFractions,1523,Phase III Number of Fractions,3,Tumor,Treatment-1st Course,"Right-justified, zero-filled",000-999,
phase3RadiationPrimaryTxVolume,1524,Phase III Radiation Primary Treatment Volume,2,Tumor,Treatment-1st Course,,"00-07, 09-14, 20-26, 29-32, 39-42, 50-68, 70-73, 80-86, 88, 90-96, 98-99",
phase3RadiationToDrainingLN,1525,Phase III Radiation to Draining Lymph Nodes,2,Tumor,Treatment-1st Course,,"00-08, 88, 99",
phase3RadiationTreatmentModality,1526,Phase III Radiation Treatment Modality,2,Tumor,Treatment-1st Course,,"00-16, 98, 99",
phase3TotalDose,1527,Phase III Total Dose,6,Tumor,Treatment-1st Course,"right justified, zero filled",000000-999999,
radiationTxDiscontinuedEarly,1531,Radiation Treatment Discontinued Early,2,Tumor,Treatment-1st Course,,"00-07, 99",
numberPhasesOfRadTxToVolume,1532,Number of Phases of Rad Treatment to this Volume,2,Tumor,Treatment-1st Course,"right justified, zero-filled","00, 01, 02, 03, 04, 99 ",
totalDose,1533,Total Dose,6,Tumor,Treatment-1st Course,"right justified, zero filled",000000-999999,
radTreatmentVolume,1540,Rad--Treatment Volume,2,Tumor,Treatment-1st Course,"Right justified, zero filled","00-41, 50, 60, 98, 99",
radLocationOfRx,1550,Rad--Location of RX,1,Tumor,Treatment-1st Course,,"0-4, 8, 9",
radRegionalRxModality,1570,Rad--Regional RX Modality,2,Tumor,Treatment-1st Course,"Right justified, zero filled","00, 20-32, 40-43, 50-55, 60-62, 80, 85, 98, 99",
neoadjuvantTherapy,1632,Neoadjuvant Therapy,1,Tumor,Treatment-1st Course,,"0-3, 9",
neoadjuvTherapyClinicalResponse,1633,Neoadjuvant Therapy-Clinical Response,1,Tumor,Treatment-1st Course,,0-9,
neoadjuvTherapyTreatmentEffect,1634,Neoadjuvant Therapy-Treatment Effect,1,Tumor,Treatment-1st Course,,"0-4, 6, 7, 9",
rxSummSystemicSurSeq,1639,RX Summ--Systemic/Sur Seq,1,Tumor,Treatment-1st Course,,"0, 2-7, 9",
rxSummSurgeryType,1640,RX Summ--Surgery Type,2,Tumor,Treatment-1st Course,"Right justified, zero filled",00-99 (site-specific),
rxSummSurgSite9802,1646,RX Summ--Surg Site 98-02,2,Tumor,Treatment-1st Course,"Right justified, zero filled","00, 10-90, 99 (site-specific), blank",
rxSummScopeReg9802,1647,RX Summ--Scope Reg 98-02,1,Tumor,Treatment-1st Course,,"0-9 (site-specific), blank",
rxSummSurgOth9802,1648,RX Summ--Surg Oth 98-02,1,Tumor,Treatment-1st Course,,"0-9 (site-specific), blank",
subsqRx2ndCourseDate,1660,Subsq RX 2nd Course Date,8,Tumor,Treatment-Subsequent & Other,YYYYMMDD,Valid dates,
subsqRx2ndCourseSurg,1671,Subsq RX 2nd Course Surg,2,Tumor,Treatment-Subsequent & Other,"Right justified, zero filled","00, 10-90, 99",
subsqRx2ndCourseRad,1672,Subsq RX 2nd Course Rad,1,Tumor,Treatment-Subsequent & Other,,"0-5, 9",
subsqRx2ndCourseChemo,1673,Subsq RX 2nd Course Chemo,1,Tumor,Treatment-Subsequent & Other,,"0-3, 9",
subsqRx2ndCourseHorm,1674,Subsq RX 2nd Course Horm,1,Tumor,Treatment-Subsequent & Other,,"0-3, 9",
subsqRx2ndCourseBrm,1675,Subsq RX 2nd Course BRM,1,Tumor,Treatment-Subsequent & Other,,0-9,
subsqRx2ndCourseOth,1676,Subsq RX 2nd Course Oth,1,Tumor,Treatment-Subsequent & Other,,"0-3, 6-9",
subsqRx2ndScopeLnSu,1677,Subsq RX 2nd--Scope LN SU,1,Tumor,Treatment-Subsequent & Other,,0-9,
subsqRx2ndSurgOth,1678,Subsq RX 2nd--Surg Oth,1,Tumor,Treatment-Subsequent & Other,,0-9,
subsqRx2ndRegLnRem,1679,Subsq RX 2nd--Reg LN Rem,2,Tumor,Treatment-Subsequent & Other,"Right justified, zero filled","00-90, 95-99",
subsqRx3rdCourseDate,1680,Subsq RX 3rd Course Date,8,Tumor,Treatment-Subsequent & Other,YYYYMMDD,Valid dates,
subsqRx3rdCourseSurg,1691,Subsq RX 3rd Course Surg,2,Tumor,Treatment-Subsequent & Other,"Right justified, zero filled","00, 10-90, 99",
subsqRx3rdCourseRad,1692,Subsq RX 3rd Course Rad,1,Tumor,Treatment-Subsequent & Other,,"0-5, 9",
subsqRx3rdCourseChemo,1693,Subsq RX 3rd Course Chemo,1,Tumor,Treatment-Subsequent & Other,,"0-3, 9",
subsqRx3rdCourseHorm,1694,Subsq RX 3rd Course Horm,1,Tumor,Treatment-Subsequent & Other,,"0-3, 9",
subsqRx3rdCourseBrm,1695,Subsq RX 3rd Course BRM,1,Tumor,Treatment-Subsequent & Other,,0-9,
subsqRx3rdCourseOth,1696,Subsq RX 3rd Course Oth,1,Tumor,Treatment-Subsequent & Other,,"0-3, 6-9",
subsqRx3rdScopeLnSu,1697,Subsq RX 3rd--Scope LN Su,1,Tumor,Treatment-Subsequent & Other,,0-9,
subsqRx3rdSurgOth,1698,Subsq RX 3rd--Surg Oth,1,Tumor,Treatment-Subsequent & Other,,0-9,
subsqRx3rdRegLnRem,1699,Subsq RX 3rd--Reg LN Rem,2,Tumor,Treatment-Subsequent & Other,"Right justified, zero filled","00-90, 95-99",
subsqRx4thCourseDate,1700,Subsq RX 4th Course Date,8,Tumor,Treatment-Subsequent & Other,YYYYMMDD,Valid dates,
subsqRx4thCourseSurg,1711,Subsq RX 4th Course Surg,2,Tumor,Treatment-Subsequent & Other,"Right justified, zero filled","00, 10-90, 99",
subsqRx4thCourseRad,1712,Subsq RX 4th Course Rad,1,Tumor,Treatment-Subsequent & Other,,"0-5, 9",
subsqRx4thCourseChemo,1713,Subsq RX 4th Course Chemo,1,Tumor,Treatment-Subsequent & Other,,"0-3, 9",
subsqRx4thCourseHorm,1714,Subsq RX 4th Course Horm,1,Tumor,Treatment-Subsequent & Other,,"0-3, 9",
subsqRx4thCourseBrm,1715,Subsq RX 4th Course BRM,1,Tumor,Treatment-Subsequent & Other,,0-9,
subsqRx4thCourseOth,1716,Subsq RX 4th Course Oth,1,Tumor,Treatment-Subsequent & Other,,"0-3, 6-9",
subsqRx4thScopeLnSu,1717,Subsq RX 4th--Scope LN Su,1,Tumor,Treatment-Subsequent & Other,,0-9,
subsqRx4thSurgOth,1718,Subsq RX 4th--Surg Oth,1,Tumor,Treatment-Subsequent & Other,,0-9,
subsqRx4thRegLnRem,1719,Subsq RX 4th--Reg LN Rem,2,Tumor,Treatment-Subsequent & Other,"Right justified, zero filled","00-90, 95-99",
subsqRxReconstructDel,1741,Subsq RX--Reconstruct Del,1,Tumor,Treatment-Subsequent & Other,,Site-specific,
dateOfLastContact,1750,Date of Last Contact,8,Patient,Follow-up/Recurrence/Death,YYYYMMDD,Valid dates,
dateOfDeathCanada,1755,Date of Death--Canada,8,Patient,Follow-up/Recurrence/Death,YYYYMMDD,Valid Dates,
vitalStatus,1760,Vital Status,1,Patient,Follow-up/Recurrence/Death,,"0, 1",
vitalStatusRecode,1762,Vital Status Recode,1,Patient,Follow-up/Recurrence/Death,,"0, 1",
cancerStatus,1770,Cancer Status,1,Tumor,Follow-up/Recurrence/Death,,"1, 2, 9",
dateOfLastCancerStatus,1772,Date of Last Cancer (tumor) Status ,8,Tumor,Follow-up/Recurrence/Death,YYYYMMDD,Valid dates,
recordNumberRecode,1775,Record Number Recode,2,Tumor,Follow-up/Recurrence/Death,,01-99,
qualityOfSurvival,1780,Quality of Survival,1,Tumor,Follow-up/Recurrence/Death,,"0-4, 8, 9",
survDateActiveFollowup,1782,Surv-Date Active Followup,8,Tumor,Follow-up/Recurrence/Death,YYYYMMDD,Valid Dates,
survFlagActiveFollowup,1783,Surv-Flag Active Followup,1,Tumor,Follow-up/Recurrence/Death,,"0-3, 8,9, blank",
survMosActiveFollowup,1784,Surv-Mos Active Followup,4,Tumor,Follow-up/Recurrence/Death,"Right justified, zero filled","0000-9999, blank",
survDatePresumedAlive,1785,Surv-Date Presumed Alive,8,Tumor,Follow-up/Recurrence/Death,YYYYMMDD,Valid dates,
survFlagPresumedAlive,1786,Surv-Flag Presumed Alive,1,Tumor,Follow-up/Recurrence/Death,,"0-3, 8,9, blank",
survMosPresumedAlive,1787,Surv-Mos Presumed Alive,4,Tumor,Follow-up/Recurrence/Death,"Right justified, zero filled","0000-9999, blank",
survDateDxRecode,1788,Surv-Date DX Recode,8,Tumor,Follow-up/Recurrence/Death,YYYYMMDD,Valid dates,
followUpSource,1790,Follow-Up Source,1,Tumor,Follow-up/Recurrence/Death,,"0-5, 7-9",
followUpSourceCentral,1791,Follow-up Source Central,2,Tumor,Follow-up/Recurrence/Death,"Right justified, zero filled","00-12, 29-35, 39-43, 48-51, 59-65, 98, 99",
nextFollowUpSource,1800,Next Follow-Up Source,1,Tumor,Follow-up/Recurrence/Death,,"0-5, 8, 9",
addrCurrentCity,1810,Addr Current--City,50,Patient,Follow-up/Recurrence/Death,"Mixed case letters, special characters only as allowed by USPS, embedded spaces allowed, left justified, blank filled",City name or UNKNOWN,
addrCurrentState,1820,Addr Current--State,2,Patient,Follow-up/Recurrence/Death,"See EDITS table STATE.DBF in Appendix B; CD, US, XX, YY, ZZ",,
addrCurrentPostalCode,1830,Addr Current--Postal Code,9,Patient,Follow-up/Recurrence/Death,"Numbers or upper case letters. No special characters or embedded spaces allowed. Left justified, blank filled.","5-digit or 9-digit U.S. ZIP codes; 6- character Canadian postal codes; valid postal codes from other countries, 888888888, 999999999, 88888+4 blanks (U.S.), 99999+4 blanks (U.S.), 999999+3 blanks (Canada)",
addrCurrentCountry,1832,Addr Current--Country,3,Patient,Demographic,Upper case,"International Standards Organization (ISO) 3166-1 Country Three Character Codes and custom codes: ZZN, ZZC, ZZS, ZZP, ZZE, ZZF, ZZA, ZZX, ZZU, XNI, XCB, XEN, XSC, XGR, XSL, CSK, YUG, XUM, XNF, XSD, XWF, XSF, XEF, XIF, XET, XAP, XIS, XCR, XOR, XSE, XMS, XCH, XML, XMC, XPL",
countyCurrent,1840,County--Current,3,Patient,Follow-up/Recurrence/Death,"Right justified, zero filled","See Appendix A for standard FIPS county codes. See EDITS table BPLACE.DBF in Appendix B for geocodes used by CoC for non-U.S. residents. Also 998, 999",
followUpContactCity,1842,Follow-Up Contact--City,50,Tumor,Follow-up/Recurrence/Death,"Mixed case letters, special characters only as allowed by USPS, embedded spaces allowed, left justified, blank filled",City name or UNKNOWN,
followUpContactState,1844,Follow-Up Contact--State,2,Tumor,Follow-up/Recurrence/Death,Upper case,See EDITS table STATE.DBF in Appendix B,
followUpContactPostal,1846,Follow-Up Contact--Postal,9,Tumor,Follow-up/Recurrence/Death,"Numbers or upper case letters. No special characters or embedded spaces allowed. Left justified, blank filled","5-digit or 9-digit U.S. ZIP codes; 6- character Canadian postal codes; valid postal codes from other countries, 888888888, 999999999, 88888+4 blanks (U.S.), 99999+4 blanks (U.S.), 999999+3 blanks (Canada)",
followupContactCountry,1847,FollowUp Contact--Country,3,Tumor,Demographic,Upper case,"Use the International Standards Organization (ISO) 3166-1 Country Three Character Codes, augmented by custom codes: ZZN, ZZC, ZZS, ZZP, ZZE, ZZF, ZZA, ZZX, ZZU, XNI, XCB, XEN, XSC, XGR, XSL, CSK, YUG, XUM, XNF, XSD, XWF, XSF, XEF, XIF, XET, XAP, XIS, XCR, XOR, XSE, XMS, XCH, XML, XMC, XPL. See Appendix B for complete list of country names and corresponding three character alpha codes.",
unusualFollowUpMethod,1850,Unusual Follow-Up Method,2,Tumor,Follow-up/Recurrence/Death,,00-99,
noPatientContactFlag,1854,No Patient Contact Flag,1,Patient,Follow-up/Recurrence/Death,Numeric,"0, 1",New
reportingFacilityRestrictionFlag,1856,Reporting Facility Restriction Flag,2,Tumor,Follow-up/Recurrence/Death,Numeric,"00, 01, 02, 03, 04, 05, 06, 07",New
recurrenceDate1st,1860,Recurrence Date--1st,8,Tumor,Follow-up/Recurrence/Death,YYYYMMDD,Valid dates,
recurrenceType1st,1880,Recurrence Type--1st,2,Tumor,Follow-up/Recurrence/Death,"Right justified, zero filled","00, 04, 06, 10, 13-17, 20-22, 25-27, 30, 36, 40, 46, 51-60, 62, 70, 88, 99",
causeOfDeath,1910,Cause of Death,4,Patient,Follow-up/Recurrence/Death,"4 digits (for ICD-7, 8, 9); for ICD-10, upper case letter followed by 3 digits or upper case letter followed by 2 digits plus blank","Valid ICD-7, ICD-8, ICD-9, and ICD-10 codes; also 0000, 7777, 7797",
seerCauseSpecificCod,1914,SEER Cause Specific COD,1,Tumor,Follow-up/Recurrence/Death,,"0, 1, 8, 9",
seerOtherCod,1915,SEER Other COD,1,Tumor,Follow-up/Recurrence/Death,,"0, 1, 8, 9",
icdRevisionNumber,1920,ICD Revision Number,1,Patient,Follow-up/Recurrence/Death,,"0, 1, 7, 8, 9",
autopsy,1930,Autopsy,1,Patient,Follow-up/Recurrence/Death,,"0-2, 9",
placeOfDeathState,1942,Place of Death--State,2,Patient,Demographic,Upper case,"USPS or CanadaPost 2-character codes; CD, US, XX, YY, ZZ, Blank",
placeOfDeathCountry,1944,Place of Death--Country,3,Patient,Demographic,Upper case,"International Standards Organization (ISO) 3166-1 Country Three Character Codes augmented by custom codes: ZZN, ZZC, ZZS, ZZP, ZZE, ZZF, ZZA, ZZX, ZZU, XNI, XCB, XEN, XSC, XGR, XSL, CSK, YUG, XUM, XNF, XSD, XWF, XSF, XEF, XIF, XET, XAP, XIS, XCR, XOR, XSE, XMS, XCH, XML, XMC, XPL, Blank. See Appendix B for complete list of country names and corresponding three character alpha codes.",
siteIcdO1,1960,Site (73-91) ICD-O-1,4,Tumor,Edit Overrides/Conversion History/System Admin,"Four digits, first digit equals 1. Reference ICD-O-1 for valid entries",1400-1999,
histologyIcdO1,1971,Histology (73-91) ICD-O-1,4,Tumor,Edit Overrides/Conversion History/System Admin,Reference ICD-O-1 for valid entries,8000-9970,
behaviorIcdO1,1972,Behavior (73-91) ICD-O-1,1,Tumor,Edit Overrides/Conversion History/System Admin,,Reference ICD-O-1 for valid entries,
gradeIcdO1,1973,Grade (73-91) ICD-O-1,1,Tumor,Edit Overrides/Conversion History/System Admin,,Reference ICD-O-1 for valid entries,
overRideSsNodespos,1981,Over-ride SS/NodesPos,1,Tumor,Edit Overrides/Conversion History/System Admin,,1 or blank,
overRideSsTnmN,1982,Over-ride SS/TNM-N,1,Tumor,Edit Overrides/Conversion History/System Admin,,1 or blank,
overRideSsTnmM,1983,Over-ride SS/TNM-M,1,Tumor,Edit Overrides/Conversion History/System Admin,,1 or blank,
overRideAcsnClassSeq,1985,Over-ride Acsn/Class/Seq,1,Tumor,Edit Overrides/Conversion History/System Admin,,1 or blank,
overRideHospseqDxconf,1986,Over-ride HospSeq/DxConf,1,Tumor,Edit Overrides/Conversion History/System Admin,,1 or blank,
overRideCocSiteType,1987,Over-ride CoC-Site/Type,1,Tumor,Edit Overrides/Conversion History/System Admin,,1 or blank,
overRideHospseqSite,1988,Over-ride HospSeq/Site,1,Tumor,Edit Overrides/Conversion History/System Admin,,1 or blank,
overRideSiteTnmStggrp,1989,Over-ride Site/TNM-StgGrp,1,Tumor,Edit Overrides/Conversion History/System Admin,,1 or blank,
overRideAgeSiteMorph,1990,Over-ride Age/Site/Morph,1,Tumor,Edit Overrides/Conversion History/System Admin,,1-3 or blank,
overRideTnmStage,1992,Over-ride TNM Stage,1,Tumor,Edit Overrides/Conversion History/System Admin,,"1, Blank",
overRideTnmTis,1993,Over-ride TNM Tis,1,Tumor,Edit Overrides/Conversion History/System Admin,,"1, Blank",
overRideTnm3,1994,Over-ride TNM 3,1,Tumor,Edit Overrides/Conversion History/System Admin,,"1, Blank",
overRideSeqnoDxconf,2000,Over-ride SeqNo/DxConf,1,Tumor,Edit Overrides/Conversion History/System Admin,,1 or blank,
overRideSiteLatSeqno,2010,Over-ride Site/Lat/SeqNo,1,Tumor,Edit Overrides/Conversion History/System Admin,,1 or blank,
overRideSurgDxconf,2020,Over-ride Surg/DxConf,1,Tumor,Edit Overrides/Conversion History/System Admin,,1 or blank,
overRideSiteType,2030,Over-ride Site/Type,1,Tumor,Edit Overrides/Conversion History/System Admin,,1 or blank,
overRideHistology,2040,Over-ride Histology,1,Tumor,Edit Overrides/Conversion History/System Admin,,1-3 or blank,
overRideReportSource,2050,Over-ride Report Source,1,Tumor,Edit Overrides/Conversion History/System Admin,,1 or blank,
overRideIllDefineSite,2060,Over-ride Ill-define Site,1,Tumor,Edit Overrides/Conversion History/System Admin,,1 or blank,
overRideLeukLymphoma,2070,"Over-ride Leuk, Lymphoma",1,Tumor,Edit Overrides/Conversion History/System Admin,,1 or blank,
overRideSiteBehavior,2071,Over-ride Site/Behavior,1,Tumor,Edit Overrides/Conversion History/System Admin,,1 or blank,
overRideSiteEodDxDt,2072,Over-ride Site/EOD/DX Dt,1,Tumor,Edit Overrides/Conversion History/System Admin,,1 or blank,
overRideSiteLatEod,2073,Over-ride Site/Lat/EOD,1,Tumor,Edit Overrides/Conversion History/System Admin,,1 or blank,
overRideSiteLatMorph,2074,Over-ride Site/Lat/Morph,1,Tumor,Edit Overrides/Conversion History/System Admin,,1 or blank,
overRideNameSex,2078,Over-ride Name/Sex,1,Patient,Edit Overrides/Conversion History/System Admin,,"1, Blank",
crcChecksum,2081,CRC CHECKSUM,10,Tumor,Edit Overrides/Conversion History/System Admin,,Calculated or blank,
dateCaseInitiated,2085,Date Case Initiated,8,Tumor,Edit Overrides/Conversion History/System Admin,YYYYMMDD,Valid date,
dateCaseCompleted,2090,Date Case Completed,8,Tumor,Edit Overrides/Conversion History/System Admin,YYYYMMDD,Valid date,
dateCaseCompletedCoc,2092,Date Case Completed--CoC,8,Tumor,Edit Overrides/Conversion History/System Admin,YYYYMMDD,Valid date,
dateCaseLastChanged,2100,Date Case Last Changed,8,Tumor,Edit Overrides/Conversion History/System Admin,YYYYMMDD,Valid date,
dateCaseReportExported,2110,Date Case Report Exported,8,Tumor,Edit Overrides/Conversion History/System Admin,YYYYMMDD,Valid date,
dateCaseReportReceived,2111,Date Case Report Received,8,Tumor,Edit Overrides/Conversion History/System Admin,YYYYMMDD,Valid date,
dateCaseReportLoaded,2112,Date Case Report Loaded,8,Tumor,Edit Overrides/Conversion History/System Admin,YYYYMMDD,Valid date,
dateTumorRecordAvailbl,2113,Date Tumor Record Availbl,8,Tumor,Edit Overrides/Conversion History/System Admin,YYYYMMDD,Valid date,
icdO3ConversionFlag,2116,ICD-O-3 Conversion Flag,1,Tumor,Edit Overrides/Conversion History/System Admin,,"Blank, 0, 1, 3",
schemaIdVersionCurrent,2117,Schema ID Version Current,5,Tumor,Edit Overrides/Conversion History/System Admin,,1.0-99.99,
schemaIdVersionOriginal,2118,Schema ID Version Original,5,Tumor,Edit Overrides/Conversion History/System Admin,,1.0-99.99,
cocCodingSysCurrent,2140,CoC Coding Sys--Current,2,Tumor,Edit Overrides/Conversion History/System Admin,"Right justified, zero filled","00-09, 99",
cocCodingSysOriginal,2150,CoC Coding Sys--Original,2,Tumor,Edit Overrides/Conversion History/System Admin,"Right justified, zero filled","00-09, 99",
cocAccreditedFlag,2152,CoC Accredited Flag,1,Tumor,Edit Overrides/Conversion History/System Admin,,"0, 1, 2, Blank",
rqrsNcdbSubmissionFlag,2155,RQRS NCDB Submission Flag,1,Tumor,Edit Overrides/Conversion History/System Admin,,"1, 2",
ajccApiVersionCurrent,2156,AJCC API Version Current,8,Tumor,Edit Overrides/Conversion History/System Admin,Characters may be alphanumeric and include decimal points.,"Values of the form XX.YY.ZZ, Blank",
ajccApiVersionOriginal,2157,AJCC API Version Original,8,Tumor,Edit Overrides/Conversion History/System Admin,Characters may be alphanumeric and include decimal points.,"Values of the form XX.YY.ZZ, Blank",
ajccCancerSurvApiVersionCurrent,2158,AJCC Cancer Surveillance DLL Version Current,13,Tumor,Edit Overrides/Conversion History/System Admin,"N[N].N[N].N[N].N[NNN] Four groups of one or more digits separated by periods. The first group identifies the underlying AJCC edition number. The second a major revision. The third a minor revision. The last group identifies the build. The value 08.01.05.0025 would represent the 8th edition, 1st major revision, 5th minor revision, and the 25th build of the API.","Numbers, decimal points",
ajccCancerSurvApiVersionOriginal,2159,AJCC Cancer Surveillance DLL Version Original,13,Tumor,Edit Overrides/Conversion History/System Admin,"N[N].N[N].N[N].N[NNN] Four groups of one or more digits separated by periods. The first group identifies the underlying AJCC edition number. The second a major revision. The third a minor revision. The last group identifies the build. The value 08.01.05.0025 would represent the 8th edition, 1st major revision, 5th minor revision, and the 25th build of the API.","Numbers, decimal points",
vendorName,2170,Vendor Name,10,Tumor,Edit Overrides/Conversion History/System Admin,,,
diagnosticProc7387,2200,Diagnostic Proc 73-87,2,Tumor,Edit Overrides/Conversion History/System Admin,,,
nameLast,2230,Name--Last,40,Patient,Patient-Confidential,"Mixed case, left justified. Truncate name if more than 40 characters long.","Spaces, hyphens and apostrophes are allowed. Do not use other punctuation.",
nameBirthSurname,2232,Name--Birth Surname,40,Patient,Patient-Confidential,"Mixed case; Left-justified, and blank-filled. ","Embedded spaces, hyphens, apostrophes. No other special characters are allowed.",
nameFirst,2240,Name--First,40,Patient,Patient-Confidential,"Mixed case, left justified. Truncate name if more than 40 characters long.","Blanks, spaces, hyphens and apostrophes are allowed. Do not use other punctuation.",
nameMiddle,2250,Name--Middle,40,Patient,Patient-Confidential,"Mixed case, left justified. Truncate name if more than 40 characters long.","Blanks, spaces, hyphens and apostrophes are allowed. Do not use other punctuation.",
namePrefix,2260,Name--Prefix,3,Patient,Patient-Confidential,,,
nameSuffix,2270,Name--Suffix,3,Patient,Patient-Confidential,,,
nameAlias,2280,Name--Alias,40,Patient,Patient-Confidential,Truncate name if more than 40 characters long; this field may be updated if the name changes.,"Blanks, spaces, hyphens, apostrophes are allowed; do not use other punctuation.",
nameSpouseParent,2290,Name--Spouse/Parent,60,Tumor,Patient-Confidential,,,
medicalRecordNumber,2300,Medical Record Number,15,Tumor,Patient-Confidential,"Right justified, space filled",Alphanumeric,
militaryRecordNoSuffix,2310,Military Record No Suffix,2,Tumor,Patient-Confidential,"Right justified, zero filled","01-20, 30-69, 98, 99, blank",
medicareBeneficiaryIdentifier,2315,Medicare Beneficiary Identifier,11,Patient,Patient-Confidential,,"Alphanumeric, Blank",
socialSecurityNumber,2320,Social Security Number,9,Patient,Patient-Confidential,"9 digits, no dashes","001010001-899999999, 999999999. Invalid values in this range exist.",
