Length,Item #,Item Name,XML NAACCR ID,Format,Allowable Values,PARENT XML ELEMENT,Section,Note,Data Type
1,1068,Grade Post Therapy Clin (yc),gradePostTherapyClin,,"Refer to the most recent version of the SSDI, Blank",Tumor,Stage/Prognostic Factors,,
1,1112,Mets at DX-Bone,metsAtDxBone,,"0, 1, 8, 9",Tumor,Stage/Prognostic Factors,,
1,1113,Mets at DX-Brain,metsAtDxBrain,,"0, 1, 8, 9",Tumor,Stage/Prognostic Factors,,
1,1114,Mets at Dx-Distant LN,metsAtDxDistantLn,,"0, 1, 8, 9",Tumor,Stage/Prognostic Factors,,
1,1115,Mets at DX-Liver,metsAtDxLiver,,"0, 1, 8, 9",Tumor,Stage/Prognostic Factors,,
1,1116,Mets at DX-Lung,metsAtDxLung,,"0, 1, 8, 9",Tumor,Stage/Prognostic Factors,,
1,1117,Mets at DX-Other,metsAtDxOther,,"0, 1, 2, 8, 9",Tumor,Stage/Prognostic Factors,,
2,1120,Pediatric Stage,pediatricStage,Alphanumeric,Refer to ROADS Manual,Tumor,Stage/Prognostic Factors,,
2,1130,Pediatric Staging System,pediatricStagingSystem,"Right justified, zero filled","00-15, 88, 97, 99",Tumor,Stage/Prognostic Factors,,
1,1140,Pediatric Staged By,pediatricStagedBy,,0-9,Tumor,Stage/Prognostic Factors,,
1,1150,Tumor Marker 1,tumorMarker1,,"0-6, 8, 9",Tumor,Stage/Prognostic Factors,,
1,1160,Tumor Marker 2,tumorMarker2,,"0-6, 8, 9",Tumor,Stage/Prognostic Factors,,
1,1170,Tumor Marker 3,tumorMarker3,,"0-6, 8, 9",Tumor,Stage/Prognostic Factors,,
1,1182,Lymphovascular Invasion,lymphVascularInvasion,,"0-4,8,9",Tumor,Stage/Prognostic Factors,,
8,1200,RX Date Surgery,rxDateSurgery,YYYYMMDD,Valid dates,Tumor,Treatment-1st Course,,
2,1201,RX Date Surgery Flag,rxDateSurgeryFlag,,"10-20, blank",Tumor,Treatment-1st Course,,
8,1210,RX Date Radiation,rxDateRadiation,YYYYMMDD,Valid dates,Tumor,Treatment-1st Course,,
2,1211,RX Date Radiation Flag,rxDateRadiationFlag,,"10-20, blank",Tumor,Treatment-1st Course,,
8,1220,RX Date Chemo,rxDateChemo,YYYYMMDD,Valid dates,Tumor,Treatment-1st Course,,
2,1221,RX Date Chemo Flag,rxDateChemoFlag,,"10-20, blank",Tumor,Treatment-1st Course,,
8,1230,RX Date Hormone,rxDateHormone,YYYYMMDD,Valid dates,Tumor,Treatment-1st Course,,
2,1231,RX Date Hormone Flag,rxDateHormoneFlag,,"10-20, blank",Tumor,Treatment-1st Course,,
8,1240,RX Date BRM,rxDateBrm,YYYYMMDD,Valid dates,Tumor,Treatment-1st Course,,
2,1241,RX Date BRM Flag,rxDateBrmFlag,,"10-20, blank",Tumor,Treatment-1st Course,,
8,1250,RX Date Other,rxDateOther,YYYYMMDD,Valid dates,Tumor,Treatment-1st Course,,
2,1251,RX Date Other Flag,rxDateOtherFlag,,"10-12, 15, blank",Tumor,Treatment-1st Course,,
8,1260,Date Initial RX SEER,dateInitialRxSeer,YYYYMMDD,Valid dates,Tumor,Treatment-1st Course,,
2,1261,Date Initial RX SEER Flag,dateInitialRxSeerFlag,,"10-20, blank",Tumor,Treatment-1st Course,,
8,1270,Date 1st Crs RX CoC,date1stCrsRxCoc,YYYYMMDD,Valid dates,Tumor,Treatment-1st Course,,
2,1271,Date 1st Crs RX CoC Flag,date1stCrsRxCocFlag,,"10-20, blank",Tumor,Treatment-1st Course,,
8,1280,RX Date DX/Stg Proc,rxDateDxStgProc,YYYYMMDD,Valid dates,Tumor,Treatment-1st Course,,
2,1281,RX Date DX/Stg Proc Flag,rxDateDxStgProcFlag,,"10-20, blank",Tumor,Treatment-1st Course,,
1,1285,RX Summ--Treatment Status,rxSummTreatmentStatus,,"0-2, 9",Tumor,Treatment-1st Course,,
2,1290,RX Summ--Surg Prim Site,rxSummSurgPrimSite,"Right justified, zero filled","00, 10-80, 90, 98, 99 (site-specific)",Tumor,Treatment-1st Course,,
1,1292,RX Summ--Scope Reg LN Sur,rxSummScopeRegLnSur,,"0-7, 9",Tumor,Treatment-1st Course,,
1,1294,RX Summ--Surg Oth Reg/Dis,rxSummSurgOthRegDis,,"0-5, 9",Tumor,Treatment-1st Course,,
2,1296,RX Summ--Reg LN Examined,rxSummRegLnExamined,"Right justified, zero filled","00-90, 95-99",Tumor,Treatment-1st Course,,
1,1310,RX Summ--Surgical Approch,rxSummSurgicalApproch,,0-9 (site-specific),Tumor,Treatment-1st Course,,
1,1320,RX Summ--Surgical Margins,rxSummSurgicalMargins,,"0-3, 7-9",Tumor,Treatment-1st Course,,
1,1330,RX Summ--Reconstruct 1st,rxSummReconstruct1st,,0-9 (site-specific),Tumor,Treatment-1st Course,,
1,1340,Reason for No Surgery,reasonForNoSurgery,,"0-2, 5-9",Tumor,Treatment-1st Course,,
2,1350,RX Summ--DX/Stg Proc,rxSummDxStgProc,"Right justified, zero filled","00-07, 09",Tumor,Treatment-1st Course,,
1,1360,RX Summ--Radiation,rxSummRadiation,,0-9,Tumor,Treatment-1st Course,,
1,1370,RX Summ--Rad to CNS,rxSummRadToCns,,"0, 1, 7-9",Tumor,Treatment-1st Course,,
1,1380,RX Summ--Surg/Rad Seq,rxSummSurgRadSeq,,"0, 2-7, 9",Tumor,Treatment-1st Course,,
2,1390,RX Summ--Chemo,rxSummChemo,"Right justified, zero filled","00-03, 82, 85-88, 99",Tumor,Treatment-1st Course,,
2,1400,RX Summ--Hormone,rxSummHormone,"Right justified, zero filled","00, 01, 82, 85-88, 99",Tumor,Treatment-1st Course,,
2,1410,RX Summ--BRM,rxSummBrm,"Right justified, zero filled","00, 01, 82, 85-88, 99",Tumor,Treatment-1st Course,,
1,1420,RX Summ--Other,rxSummOther,,"0-3, 6-9",Tumor,Treatment-1st Course,,
1,1430,Reason for No Radiation,reasonForNoRadiation,,"0-2, 5-9",Tumor,Treatment-1st Course,,
2,1460,RX Coding System--Current,rxCodingSystemCurrent,"Right justified, zero filled","00-08, 99",Tumor,Treatment-1st Course,,
5,1501,Phase I Dose per Fraction,phase1DosePerFraction,"Right Justified, zero filled",00000-99999,Tumor,Treatment-1st Course,,
2,1502,Phase I Radiation External Beam Planning Tech,phase1RadiationExternalBeamTech,,"00-10, 88, 98, 99",Tumor,Treatment-1st Course,,
3,1503,Phase I Number of Fractions,phase1NumberOfFractions,"Right justified, zero filled",000-999,Tumor,Treatment-1st Course,,
2,1504,Phase I Radiation Primary Treatment Volume,phase1RadiationPrimaryTxVolume,,"00-07, 09-14, 20-26, 29-32, 39-42, 50-68, 70-73, 80-86, 88, 90-99",Tumor,Treatment-1st Course,,
2,1505,Phase I Radiation to Draining Lymph Nodes,phase1RadiationToDrainingLN,,"00-08, 88, 99",Tumor,Treatment-1st Course,,
2,1506,Phase I Radiation Treatment Modality,phase1RadiationTreatmentModality,,"00-16, 98, 99",Tumor,Treatment-1st Course,,
6,1507,Phase I Total Dose,phase1TotalDose,"Right Justified, zero filled",000000-999999,Tumor,Treatment-1st Course,,
5,1510,Rad--Regional Dose: cGy,radRegionalDoseCgy,"Right justified, zero filled",00000-99999,Tumor,Treatment-1st Course,,
5,1511,Phase II Dose per Fraction,phase2DosePerFraction,,00000-99999,Tumor,Treatment-1st Course,,
2,1512,Phase II Radiation External Beam Planning Tech,phase2RadiationExternalBeamTech,,"00-10, 88, 98, 99",Tumor,Treatment-1st Course,,
3,1513,Phase II Number of Fractions,phase2NumberOfFractions,"Right justified, zero filled",000-999,Tumor,Treatment-1st Course,,
2,1514,Phase II Radiation Primary Treatment Volume,phase2RadiationPrimaryTxVolume,,"00-07, 09-14, 20-26, 29-32, 39-42, 50-68, 70-73, 80-86, 88, 90-99",Tumor,Treatment-1st Course,,
2,1515,Phase II Radiation to Draining Lymph Nodes,phase2RadiationToDrainingLN,,"00-08, 88, 99",Tumor,Treatment-1st Course,,
2,1516,Phase II Radiation Treatment Modality,phase2RadiationTreatmentModality,,"00-16, 98, 99",Tumor,Treatment-1st Course,,
6,1517,Phase II Total Dose,phase2TotalDose,"Right justified, zero filled",000000-999999,Tumor,Treatment-1st Course,,
3,1520,Rad--No of Treatment Vol,radNoOfTreatmentVol,"Right justified, zero filled",000-999,Tumor,Treatment-1st Course,,
5,1521,Phase III Dose per Fraction,phase3DosePerFraction,,00000-99999,Tumor,Treatment-1st Course,,
2,1522,Phase III Radiation External Beam Planning Tech,phase3RadiationExternalBeamTech,,"00-10, 88, 98, 99",Tumor,Treatment-1st Course,,
3,1523,Phase III Number of Fractions,phase3NumberOfFractions,"Right-justified, zero-filled",000-999,Tumor,Treatment-1st Course,,
2,1524,Phase III Radiation Primary Treatment Volume,phase3RadiationPrimaryTxVolume,,"00-07, 09-14, 20-26, 29-32, 39-42, 50-68, 70-73, 80-86, 88, 90-96, 98-99",Tumor,Treatment-1st Course,,
2,1525,Phase III Radiation to Draining Lymph Nodes,phase3RadiationToDrainingLN,,"00-08, 88, 99",Tumor,Treatment-1st Course,,
2,1526,Phase III Radiation Treatment Modality,phase3RadiationTreatmentModality,,"00-16, 98, 99",Tumor,Treatment-1st Course,,
6,1527,Phase III Total Dose,phase3TotalDose,"right justified, zero filled",000000-999999,Tumor,Treatment-1st Course,,
2,1531,Radiation Treatment Discontinued Early,radiationTxDiscontinuedEarly,,"00-07, 99",Tumor,Treatment-1st Course,,
2,1532,Number of Phases of Rad Treatment to this Volume,numberPhasesOfRadTxToVolume,"right justified, zero-filled","00, 01, 02, 03, 04, 99",Tumor,Treatment-1st Course,,
6,1533,Total Dose,totalDose,"right justified, zero filled",000000-999999,Tumor,Treatment-1st Course,,
2,1540,Rad--Treatment Volume,radTreatmentVolume,"Right justified, zero filled","00-41, 50, 60, 98, 99",Tumor,Treatment-1st Course,,
1,1550,Rad--Location of RX,radLocationOfRx,,"0-4, 8, 9",Tumor,Treatment-1st Course,,
2,1570,Rad--Regional RX Modality,radRegionalRxModality,"Right justified, zero filled","00, 20-32, 40-43, 50-55, 60-62, 80, 85, 98, 99",Tumor,Treatment-1st Course,,
1,1632,Neoadjuvant Therapy,neoadjuvantTherapy,,"0-3, 9",Tumor,Treatment-1st Course,,
1,1633,Neoadjuvant Therapy-Clinical Response,neoadjuvTherapyClinicalResponse,,0-9,Tumor,Treatment-1st Course,,
1,1634,Neoadjuvant Therapy-Treatment Effect,neoadjuvTherapyTreatmentEffect,,"0-4, 6, 7, 9",Tumor,Treatment-1st Course,,
1,1639,RX Summ--Systemic/Sur Seq,rxSummSystemicSurSeq,,"0, 2-7, 9",Tumor,Treatment-1st Course,,
2,1640,RX Summ--Surgery Type,rxSummSurgeryType,"Right justified, zero filled",00-99 (site-specific),Tumor,Treatment-1st Course,,
2,1646,RX Summ--Surg Site 98-02,rxSummSurgSite9802,"Right justified, zero filled","00, 10-90, 99 (site-specific), blank",Tumor,Treatment-1st Course,,
1,1647,RX Summ--Scope Reg 98-02,rxSummScopeReg9802,,"0-9 (site-specific), blank",Tumor,Treatment-1st Course,,
1,1648,RX Summ--Surg Oth 98-02,rxSummSurgOth9802,,"0-9 (site-specific), blank",Tumor,Treatment-1st Course,,
8,1660,Subsq RX 2nd Course Date,subsqRx2ndCourseDate,YYYYMMDD,Valid dates,Tumor,Treatment-Subsequent & Other,,
2,1661,Subsq RX 2ndCrs Date Flag,subsqRx2ndcrsDateFlag,,"10-20, blank",Tumor,Treatment-Subsequent & Other,,
11,1670,Subsq RX 2nd Course Codes,subsqRx2ndCourseCodes,,,Tumor,Treatment-Subsequent & Other,,
2,1671,Subsq RX 2nd Course Surg,subsqRx2ndCourseSurg,"Right justified, zero filled","00, 10-90, 99",Tumor,Treatment-Subsequent & Other,,
1,1672,Subsq RX 2nd Course Rad,subsqRx2ndCourseRad,,"0-5, 9",Tumor,Treatment-Subsequent & Other,,
1,1673,Subsq RX 2nd Course Chemo,subsqRx2ndCourseChemo,,"0-3, 9",Tumor,Treatment-Subsequent & Other,,
1,1674,Subsq RX 2nd Course Horm,subsqRx2ndCourseHorm,,"0-3, 9",Tumor,Treatment-Subsequent & Other,,
1,1675,Subsq RX 2nd Course BRM,subsqRx2ndCourseBrm,,0-9,Tumor,Treatment-Subsequent & Other,,
1,1676,Subsq RX 2nd Course Oth,subsqRx2ndCourseOth,,"0-3, 6-9",Tumor,Treatment-Subsequent & Other,,
1,1677,Subsq RX 2nd--Scope LN SU,subsqRx2ndScopeLnSu,,0-9,Tumor,Treatment-Subsequent & Other,,
1,1678,Subsq RX 2nd--Surg Oth,subsqRx2ndSurgOth,,0-9,Tumor,Treatment-Subsequent & Other,,
2,1679,Subsq RX 2nd--Reg LN Rem,subsqRx2ndRegLnRem,"Right justified, zero filled","00-90, 95-99",Tumor,Treatment-Subsequent & Other,,
8,1680,Subsq RX 3rd Course Date,subsqRx3rdCourseDate,YYYYMMDD,Valid dates,Tumor,Treatment-Subsequent & Other,,
2,1681,Subsq RX 3rdCrs Date Flag,subsqRx3rdcrsDateFlag,,"10-20, blank",Tumor,Treatment-Subsequent & Other,,
11,1690,Subsq RX 3rd Course Codes,subsqRx3rdCourseCodes,,,Tumor,Treatment-Subsequent & Other,,
2,1691,Subsq RX 3rd Course Surg,subsqRx3rdCourseSurg,"Right justified, zero filled","00, 10-90, 99",Tumor,Treatment-Subsequent & Other,,
1,1692,Subsq RX 3rd Course Rad,subsqRx3rdCourseRad,,"0-5, 9",Tumor,Treatment-Subsequent & Other,,
1,1693,Subsq RX 3rd Course Chemo,subsqRx3rdCourseChemo,,"0-3, 9",Tumor,Treatment-Subsequent & Other,,
1,1694,Subsq RX 3rd Course Horm,subsqRx3rdCourseHorm,,"0-3, 9",Tumor,Treatment-Subsequent & Other,,
1,1695,Subsq RX 3rd Course BRM,subsqRx3rdCourseBrm,,0-9,Tumor,Treatment-Subsequent & Other,,
1,1696,Subsq RX 3rd Course Oth,subsqRx3rdCourseOth,,"0-3, 6-9",Tumor,Treatment-Subsequent & Other,,
1,1697,Subsq RX 3rd--Scope LN Su,subsqRx3rdScopeLnSu,,0-9,Tumor,Treatment-Subsequent & Other,,
1,1698,Subsq RX 3rd--Surg Oth,subsqRx3rdSurgOth,,0-9,Tumor,Treatment-Subsequent & Other,,
2,1699,Subsq RX 3rd--Reg LN Rem,subsqRx3rdRegLnRem,"Right justified, zero filled","00-90, 95-99",Tumor,Treatment-Subsequent & Other,,
8,1700,Subsq RX 4th Course Date,subsqRx4thCourseDate,YYYYMMDD,Valid dates,Tumor,Treatment-Subsequent & Other,,
2,1701,Subsq RX 4thCrs Date Flag,subsqRx4thcrsDateFlag,,"10-20, blank",Tumor,Treatment-Subsequent & Other,,
11,1710,Subsq RX 4th Course Codes,subsqRx4thCourseCodes,,,Tumor,Treatment-Subsequent & Other,,
2,1711,Subsq RX 4th Course Surg,subsqRx4thCourseSurg,"Right justified, zero filled","00, 10-90, 99",Tumor,Treatment-Subsequent & Other,,
1,1712,Subsq RX 4th Course Rad,subsqRx4thCourseRad,,"0-5, 9",Tumor,Treatment-Subsequent & Other,,
1,1713,Subsq RX 4th Course Chemo,subsqRx4thCourseChemo,,"0-3, 9",Tumor,Treatment-Subsequent & Other,,
1,1714,Subsq RX 4th Course Horm,subsqRx4thCourseHorm,,"0-3, 9",Tumor,Treatment-Subsequent & Other,,
1,1715,Subsq RX 4th Course BRM,subsqRx4thCourseBrm,,0-9,Tumor,Treatment-Subsequent & Other,,
1,1716,Subsq RX 4th Course Oth,subsqRx4thCourseOth,,"0-3, 6-9",Tumor,Treatment-Subsequent & Other,,
1,1717,Subsq RX 4th--Scope LN Su,subsqRx4thScopeLnSu,,0-9,Tumor,Treatment-Subsequent & Other,,
1,1718,Subsq RX 4th--Surg Oth,subsqRx4thSurgOth,,0-9,Tumor,Treatment-Subsequent & Other,,
2,1719,Subsq RX 4th--Reg LN Rem,subsqRx4thRegLnRem,"Right justified, zero filled","00-90, 95-99",Tumor,Treatment-Subsequent & Other,,
1,1741,Subsq RX--Reconstruct Del,subsqRxReconstructDel,,Site-specific,Tumor,Treatment-Subsequent & Other,,
8,1750,Date of Last Contact,dateOfLastContact,YYYYMMDD,Valid dates,Patient,Follow-up/Recurrence/Death,,
2,1751,Date of Last Contact Flag,dateOfLastContactFlag,,"10-20, blank",Patient,Follow-up/Recurrence/Death,,
8,1755,Date of Death--Canada,dateOfDeathCanada,YYYYMMDD,Valid Dates,Patient,Follow-up/Recurrence/Death,,
2,1756,Date of Death--CanadaFlag,dateOfDeathCanadaFlag,,"10-20, blank",Patient,Follow-up/Recurrence/Death,,
1,1760,Vital Status,vitalStatus,,"0, 1",Patient,Follow-up/Recurrence/Death,,
1,1762,Vital Status Recode,vitalStatusRecode,,"0, 1",Patient,Follow-up/Recurrence/Death,,
1,1770,Cancer Status,cancerStatus,,"1, 2, 9",Tumor,Follow-up/Recurrence/Death,,
8,1772,Date of Last Cancer (tumor) Status,dateOfLastCancerStatus,YYYYMMDD,Valid dates,Tumor,Follow-up/Recurrence/Death,,
2,1773,Date of Last Cancer (tumor) Status Flag,dateOfLastCancerStatusFlag,,"12, Blank",Tumor,Follow-up/Recurrence/Death,,
2,1775,Record Number Recode,recordNumberRecode,,Jan-99,Tumor,Follow-up/Recurrence/Death,,
1,1780,Quality of Survival,qualityOfSurvival,,"0-4, 8, 9",Tumor,Follow-up/Recurrence/Death,,
8,1782,Surv-Date Active Followup,survDateActiveFollowup,YYYYMMDD,Valid Dates,Tumor,Follow-up/Recurrence/Death,,
1,1783,Surv-Flag Active Followup,survFlagActiveFollowup,,"0-3, 8,9, blank",Tumor,Follow-up/Recurrence/Death,,
4,1784,Surv-Mos Active Followup,survMosActiveFollowup,"Right justified, zero filled","0000-9999, blank",Tumor,Follow-up/Recurrence/Death,,
8,1785,Surv-Date Presumed Alive,survDatePresumedAlive,YYYYMMDD,Valid dates,Tumor,Follow-up/Recurrence/Death,,
1,1786,Surv-Flag Presumed Alive,survFlagPresumedAlive,,"0-3, 8,9, blank",Tumor,Follow-up/Recurrence/Death,,
4,1787,Surv-Mos Presumed Alive,survMosPresumedAlive,"Right justified, zero filled","0000-9999, blank",Tumor,Follow-up/Recurrence/Death,,
8,1788,Surv-Date DX Recode,survDateDxRecode,YYYYMMDD,Valid dates,Tumor,Follow-up/Recurrence/Death,,
1,1790,Follow-Up Source,followUpSource,,"0-5, 7-9",Tumor,Follow-up/Recurrence/Death,,
2,1791,Follow-up Source Central,followUpSourceCentral,"Right justified, zero filled","00-12, 29-35, 39-43, 48-51, 59-65, 98, 99",Tumor,Follow-up/Recurrence/Death,,
1,1800,Next Follow-Up Source,nextFollowUpSource,,"0-5, 8, 9",Tumor,Follow-up/Recurrence/Death,,
50,1810,Addr Current--City,addrCurrentCity,"Mixed case letters, special characters only as allowed by USPS, embedded spaces allowed, left justified, blank filled",City name or UNKNOWN,Patient,Follow-up/Recurrence/Death,,
2,1820,Addr Current--State,addrCurrentState,"See EDITS table STATE.DBF in Appendix B; CD, US, XX, YY, ZZ",,Patient,Follow-up/Recurrence/Death,,
9,1830,Addr Current--Postal Code,addrCurrentPostalCode,"Numbers or upper case letters. No special characters or embedded spaces allowed. Left justified, blank filled.","5-digit or 9-digit U.S. ZIP codes; 6- character Canadian postal codes; valid postal codes from other countries, 888888888, 999999999, 88888+4 blanks (U.S.), 99999+4 blanks (U.S.), 999999+3 blanks (Canada)",Patient,Follow-up/Recurrence/Death,,
3,1832,Addr Current--Country,addrCurrentCountry,Upper case,"International Standards Organization (ISO) 3166-1 Country Three Character Codes and custom codes: ZZN, ZZC, ZZS, ZZP, ZZE, ZZF, ZZA, ZZX, ZZU, XNI, XCB, XEN, XSC, XGR, XSL, CSK, YUG, XUM, XNF, XSD, XWF, XSF, XEF, XIF, XET, XAP, XIS, XCR, XOR, XSE, XMS, XCH, XML, XMC, XPL",Patient,Demographic,,
3,1840,County--Current,countyCurrent,"Right justified, zero filled","See Appendix A for standard FIPS county codes. See EDITS table BPLACE.DBF in Appendix B for geocodes used by CoC for non-U.S. residents. Also 998, 999",Patient,Follow-up/Recurrence/Death,,
50,1842,Follow-Up Contact--City,followUpContactCity,"Mixed case letters, special characters only as allowed by USPS, embedded spaces allowed, left justified, blank filled",City name or UNKNOWN,Tumor,Follow-up/Recurrence/Death,,
2,1844,Follow-Up Contact--State,followUpContactState,Upper case,See EDITS table STATE.DBF in Appendix B,Tumor,Follow-up/Recurrence/Death,,
9,1846,Follow-Up Contact--Postal,followUpContactPostal,"Numbers or upper case letters. No special characters or embedded spaces allowed. Left justified, blank filled","5-digit or 9-digit U.S. ZIP codes; 6- character Canadian postal codes; valid postal codes from other countries, 888888888, 999999999, 88888+4 blanks (U.S.), 99999+4 blanks (U.S.), 999999+3 blanks (Canada)",Tumor,Follow-up/Recurrence/Death,,
3,1847,FollowUp Contact--Country,followupContactCountry,Upper case,"Use the International Standards Organization (ISO) 3166-1 Country Three Character Codes, augmented by custom codes: ZZN, ZZC, ZZS, ZZP, ZZE, ZZF, ZZA, ZZX, ZZU, XNI, XCB, XEN, XSC, XGR, XSL, CSK, YUG, XUM, XNF, XSD, XWF, XSF, XEF, XIF, XET, XAP, XIS, XCR, XOR, XSE, XMS, XCH, XML, XMC, XPL. See Appendix B for complete list of country names and corresponding three character alpha codes.",Tumor,Demographic,,
2,1850,Unusual Follow-Up Method,unusualFollowUpMethod,,00-99,Tumor,Follow-up/Recurrence/Death,,
8,1860,Recurrence Date--1st,recurrenceDate1st,YYYYMMDD,Valid dates,Tumor,Follow-up/Recurrence/Death,,
2,1861,Recurrence Date--1st Flag,recurrenceDate1stFlag,,"10-20, blank",Tumor,Follow-up/Recurrence/Death,,
2,1880,Recurrence Type--1st,recurrenceType1st,"Right justified, zero filled","00, 04, 06, 10, 13-17, 20-22, 25-27, 30, 36, 40, 46, 51-60, 62, 70, 88, 99",Tumor,Follow-up/Recurrence/Death,,
4,1910,Cause of Death,causeOfDeath,"4 digits (for ICD-7, 8, 9); for ICD-10, upper case letter followed by 3 digits or upper case letter followed by 2 digits plus blank","Valid ICD-7, ICD-8, ICD-9, and ICD-10 codes; also 0000, 7777, 7797",Patient,Follow-up/Recurrence/Death,,
1,1914,SEER Cause Specific COD,seerCauseSpecificCod,,"0, 1, 8, 9",Tumor,Follow-up/Recurrence/Death,,
1,1915,SEER Other COD,seerOtherCod,,"0, 1, 8, 9",Tumor,Follow-up/Recurrence/Death,,
1,1920,ICD Revision Number,icdRevisionNumber,,"0, 1, 7, 8, 9",Patient,Follow-up/Recurrence/Death,,
1,1930,Autopsy,autopsy,,"0-2, 9",Patient,Follow-up/Recurrence/Death,,
3,1940,Place of Death,placeOfDeath,"Right justified, zero filled",Reference SEER Manual,Patient,Follow-up/Recurrence/Death,,
2,1942,Place of Death--State,placeOfDeathState,Upper case,"USPS or CanadaPost 2-character codes; CD, US, XX, YY, ZZ, Blank",Patient,Demographic,,
3,1944,Place of Death--Country,placeOfDeathCountry,Upper case,"International Standards Organization (ISO) 3166-1 Country Three Character Codes augmented by custom codes: ZZN, ZZC, ZZS, ZZP, ZZE, ZZF, ZZA, ZZX, ZZU, XNI, XCB, XEN, XSC, XGR, XSL, CSK, YUG, XUM, XNF, XSD, XWF, XSF, XEF, XIF, XET, XAP, XIS, XCR, XOR, XSE, XMS, XCH, XML, XMC, XPL, Blank. See Appendix B for complete list of country names and corresponding three character alpha codes.",Patient,Demographic,,
4,1960,Site (73-91) ICD-O-1,siteIcdO1,"Four digits, first digit equals 1. Reference ICD-O-1 for valid entries",1400-1999,Tumor,Edit Overrides/Conversion History/System Admin,,
6,1970,Morph (73-91) ICD-O-1,morphIcdO1,,Reference ICD-O-1 for valid entries,Tumor,Edit Overrides/Conversion History/System Admin,,
4,1971,Histology (73-91) ICD-O-1,histologyIcdO1,Reference ICD-O-1 for valid entries,8000-9970,Tumor,Edit Overrides/Conversion History/System Admin,,
1,1972,Behavior (73-91) ICD-O-1,behaviorIcdO1,,Reference ICD-O-1 for valid entries,Tumor,Edit Overrides/Conversion History/System Admin,,
1,1973,Grade (73-91) ICD-O-1,gradeIcdO1,,Reference ICD-O-1 for valid entries,Tumor,Edit Overrides/Conversion History/System Admin,,
1,1980,ICD-O-2 Conversion Flag,icdO2ConversionFlag,,"0-6, blank",Tumor,Edit Overrides/Conversion History/System Admin,,
1,1981,Over-ride SS/NodesPos,overRideSsNodespos,,1 or blank,Tumor,Edit Overrides/Conversion History/System Admin,,
1,1982,Over-ride SS/TNM-N,overRideSsTnmN,,1 or blank,Tumor,Edit Overrides/Conversion History/System Admin,,
1,1983,Over-ride SS/TNM-M,overRideSsTnmM,,1 or blank,Tumor,Edit Overrides/Conversion History/System Admin,,
1,1985,Over-ride Acsn/Class/Seq,overRideAcsnClassSeq,,1 or blank,Tumor,Edit Overrides/Conversion History/System Admin,,
1,1986,Over-ride HospSeq/DxConf,overRideHospseqDxconf,,1 or blank,Tumor,Edit Overrides/Conversion History/System Admin,,
1,1987,Over-ride CoC-Site/Type,overRideCocSiteType,,1 or blank,Tumor,Edit Overrides/Conversion History/System Admin,,
1,1988,Over-ride HospSeq/Site,overRideHospseqSite,,1 or blank,Tumor,Edit Overrides/Conversion History/System Admin,,
1,1989,Over-ride Site/TNM-StgGrp,overRideSiteTnmStggrp,,1 or blank,Tumor,Edit Overrides/Conversion History/System Admin,,
1,1990,Over-ride Age/Site/Morph,overRideAgeSiteMorph,,1-3 or blank,Tumor,Edit Overrides/Conversion History/System Admin,,
1,1992,Over-ride TNM Stage,overRideTnmStage,,"1, Blank",Tumor,Edit Overrides/Conversion History/System Admin,,
1,1993,Over-ride TNM Tis,overRideTnmTis,,"1, Blank",Tumor,Edit Overrides/Conversion History/System Admin,,
1,1994,Over-ride TNM 3,overRideTnm3,,"1, Blank",Tumor,Edit Overrides/Conversion History/System Admin,,
1,2000,Over-ride SeqNo/DxConf,overRideSeqnoDxconf,,1 or blank,Tumor,Edit Overrides/Conversion History/System Admin,,
1,2010,Over-ride Site/Lat/SeqNo,overRideSiteLatSeqno,,1 or blank,Tumor,Edit Overrides/Conversion History/System Admin,,
1,2020,Over-ride Surg/DxConf,overRideSurgDxconf,,1 or blank,Tumor,Edit Overrides/Conversion History/System Admin,,
1,2030,Over-ride Site/Type,overRideSiteType,,1 or blank,Tumor,Edit Overrides/Conversion History/System Admin,,
1,2040,Over-ride Histology,overRideHistology,,1-3 or blank,Tumor,Edit Overrides/Conversion History/System Admin,,
1,2050,Over-ride Report Source,overRideReportSource,,1 or blank,Tumor,Edit Overrides/Conversion History/System Admin,,
1,2060,Over-ride Ill-define Site,overRideIllDefineSite,,1 or blank,Tumor,Edit Overrides/Conversion History/System Admin,,
1,2070,"Over-ride Leuk, Lymphoma",overRideLeukLymphoma,,1 or blank,Tumor,Edit Overrides/Conversion History/System Admin,,
1,2071,Over-ride Site/Behavior,overRideSiteBehavior,,1 or blank,Tumor,Edit Overrides/Conversion History/System Admin,,
1,2072,Over-ride Site/EOD/DX Dt,overRideSiteEodDxDt,,1 or blank,Tumor,Edit Overrides/Conversion History/System Admin,,
1,2073,Over-ride Site/Lat/EOD,overRideSiteLatEod,,1 or blank,Tumor,Edit Overrides/Conversion History/System Admin,,
1,2074,Over-ride Site/Lat/Morph,overRideSiteLatMorph,,1 or blank,Tumor,Edit Overrides/Conversion History/System Admin,,
1,2078,Over-ride Name/Sex,overRideNameSex,,"1, Blank",Patient,Edit Overrides/Conversion History/System Admin,,
10,2081,CRC CHECKSUM,crcChecksum,,Calculated or blank,Tumor,Edit Overrides/Conversion History/System Admin,,
8,2085,Date Case Initiated,dateCaseInitiated,YYYYMMDD,Valid date,Tumor,Edit Overrides/Conversion History/System Admin,,
